URL / Route,Key,DE,EN
"/exercises","exercises.fact.cards","Braucht dein Mindfulness-Cards-Set","Needs your Mindfulness Cards deck"
"/exercises","exercises.fact.sound","Ton an – Kopfhörer empfohlen","Sound on — headphones recommended"
"/exercises","exercises.surpriseMe","Musie eine Übung aussuchen lassen","Let Musie pick an exercise"
"/exercises","exercises.alreadyRunning","Es läuft schon eine Session","A session is already running"
"/exercises","exercises.alreadyRunningDetail","Beende oder schließe die laufende Session, bevor du eine neue startest.","Finish or close the one you are in before starting another."
"/exercises","exercises.goToSession","Zu dieser Session","Continue that session"
"/exercises","exercises.endAndStart","{name} starten und vorherige Session beenden","Start {name} and end the previous session"
"/exercises","exercises.startFailed","Die Session konnte nicht gestartet werden","The session could not be started"
"/diary · /diary/:id · /session/:id/*","session.step.intro","Einsteigen","Start"
"/diary · /diary/:id · /session/:id/*","session.step.scan","Scannen","Scan"
"/diary · /diary/:id · /session/:id/*","session.step.listen","Hören","Listen"
"/diary · /diary/:id · /session/:id/*","session.step.reflect","Nachdenken","Reflect"
"/diary · /diary/:id","session.status.finished","Abgeschlossen","Completed"
"/diary · /diary/:id","session.status.abandoned","Nicht beendet","Unfinished"
"/session/:id/*","session.wizardLabel","Schritte der Session","Session steps"
"/session/:id/*","session.notFound","Diese Session gibt es nicht","This session does not exist"
"/session/:id/*","session.notFoundText","Vielleicht wurde sie gelöscht, oder sie gehört zu einem anderen Browser.","It may have been deleted, or it belongs to another browser."
"/session/:id/*","session.close","Diese Session schließen","Close this session"
"/session/:id/*","session.close.title","Session schließen?","Close this session?"
"/session/:id/*","session.close.text","Du kannst sie später nicht wieder aufnehmen – die Übung arbeitet damit, wie es dir gerade geht, und das ist beim nächsten Mal anders. Sie bleibt als nicht beendet in deinem Tagebuch, und du kannst jederzeit eine neue Session starten.","You cannot pick this one up again — the exercise works from how you feel right now, and that will have moved on by the time you come back. It stays in your diary marked unfinished, and you can start a fresh session whenever you like."
"/session/:id/*","session.close.confirm","Session schließen","Close the session"
"/session/:id/intro","session.intro.fallback","Nimm dir einen Moment zum Ankommen. Wenn du so weit bist, geht es weiter.","Take a moment to arrive. When you are ready, carry on."
"not rendered (unused key)","session.scan.headline","Scanne die Karte, die am besten beschreibt, wie du dich gerade fühlst.","Scan the card that describes best how you feel right now."
"/session/:id/scan","session.scan.codeLabel","Kartencode","Card code"
"/session/:id/scan","session.scan.codePlaceholder","MC-01","MC-01"
"/session/:id/scan","session.scan.codeManual","Code eingeben","Enter the code"
"/session/:id/scan","session.scan.codeHint","Der Code steht neben dem QR-Code auf der Karte, zum Beispiel MC-01.","The code is printed beside the QR code, like MC-01."
"/session/:id/scan","session.scan.codeSubmit","Diese Karte nehmen","Use this card"
"/session/:id/*","session.scan.codeMalformed","Ein Kartencode sieht aus wie MC-01. Schau noch einmal auf deine Karte.","A card code looks like MC-01. Check the one printed on your card."
"/session/:id/*","session.scan.codeUnknown","Keine Karte in diesem Set hat den Code {code}.","No card in this deck carries the code {code}."
"/session/:id/*","session.scan.codeFailed","Das ließ sich gerade nicht prüfen. Versuch es gleich noch einmal.","That could not be checked. Try again in a moment."
"/session/:id/scan","session.scan.heldHint","Das ist die Karte, die du gescannt hast. Nimm sie, oder tippe einen anderen Code ein.","This is the card you scanned. Use it, or type a different code."
"/session/:id/scan","session.scan.done","Karte gescannt","Card scanned"
"/session/:id/scan · /session/:id/listen","session.scan.yourCard","Deine Karte","Your card"
"/session/:id/*","session.scan.again","Andere Karte scannen","Scan a different card"
"/session/:id/scan","session.scan.scanCard","Karte scannen","Scan the card"
"/session/:id/scan","session.scan.cameraRetry","Kamera noch mal versuchen","Try the camera again"
"/session/:id/scan","session.scan.cameraHide","Kamera ausblenden","Hide the camera"
"/session/:id/scan","session.scan.codeBack","Zurück zum Scannen","Back to scanning"
"/session/:id/scan","session.scan.cameraStarting","Kamera wird geöffnet…","Opening the camera…"
"/session/:id/scan","session.scan.cameraLive","Halte den QR-Code deiner Karte in den Rahmen.","Hold the QR code on your card inside the frame."
"/session/:id/scan","session.scan.cameraLabel","Kamera, sucht nach einem QR-Code","Camera, looking for a QR code"
"/session/:id/scan","session.scan.cameraOther","Dieser QR-Code gehört nicht zu Musie. Der Code einer Karte sieht aus wie MC-01.","That QR code is not one of Musie’s. A card’s code looks like MC-01."
"/session/:id/scan","session.scan.cameraDenied","Die Kamera bleibt aus. Tippe stattdessen den Code ein, der auf deiner Karte steht.","The camera stays off. Type the code printed on your card instead."
"/session/:id/scan","session.scan.cameraMissing","Dieses Gerät hat keine Kamera, die Musie nutzen kann. Tippe stattdessen den Code von deiner Karte ein.","This device has no camera Musie can use. Type the code printed on your card instead."
"/session/:id/scan","session.scan.cameraBusy","Eine andere App benutzt die Kamera. Schließe sie und versuch es noch einmal, oder tippe den Code von deiner Karte ein.","Another app is using the camera. Close it and try again, or type the code printed on your card."
"/session/:id/scan","session.scan.cameraInsecure","Der Browser öffnet die Kamera nur über eine sichere Verbindung. Tippe stattdessen den Code von deiner Karte ein.","A browser opens the camera only over a secure connection. Type the code printed on your card instead."
"/session/:id/scan","session.scan.cameraUnsupported","Dieser Browser öffnet hier keine Kamera. Tippe stattdessen den Code von deiner Karte ein.","This browser will not open a camera here. Type the code printed on your card instead."
"/session/:id/scan","session.scan.cameraDecoder","Der Code-Leser ließ sich nicht laden. Prüfe deine Verbindung und versuch es noch einmal, oder tippe den Code von deiner Karte ein.","The code reader could not be loaded. Check your connection and try again, or type the code printed on your card."
"/session/:id/scan","session.scan.cameraFailed","Die Kamera ließ sich nicht starten. Tippe stattdessen den Code von deiner Karte ein.","The camera could not be started. Type the code printed on your card instead."
"/session/:id/listen","session.listen.track","Dein Stück","Your track"
"/session/:id/listen","session.listen.startLocked","Fokussiere dich noch mindestens für {countdown} Minuten","Focus for at least {countdown} minutes more"
"/session/:id/listen","session.listen.start","Nachdenken starten, sobald du bereit bist","Start reflecting whenever you are ready"
"/session/:id/listen","session.listen.detailsAction","Über den Track","About the track"
"/session/:id/listen","session.listen.warnText","Für diese Übung ist es besser, dich nicht vom Namen des Tracks oder vom Cover beeinflussen zu lassen.","For this exercise it is better not to be influenced by the track’s name or its cover."
"/session/:id/listen","session.listen.warnBack","Übung fortsetzen","Continue the exercise"
"/session/:id/listen","session.listen.warnOn","Details und Player zeigen","Show details and player"
"/session/:id/listen","session.listen.scrollUp","Nach oben","Scroll up"
"/session/:id/listen","session.listen.play","Abspielen","Play"
"/session/:id/listen","session.listen.pause","Pause","Pause"
"/session/:id/listen","session.listen.restart","Noch einmal","Play again"
"/session/:id/listen","session.listen.seek","Position im Track","Position in the track"
"/session/:id/listen","session.listen.aboutHeading","Zu diesem Track","About this track"
"/session/:id/listen","session.listen.aboutArtist","Interpretin oder Interpret","Artist"
"/session/:id/listen","session.listen.aboutInstructions","Hinweise zum Hören","Listening instructions"
"/session/:id/listen","session.listen.simulatedHeadline","Testmodus: keine Aufnahme","Test mode: no recording"
"/session/:id/listen","session.listen.simulated","Es ist noch keine Aufnahme hinterlegt, deshalb läuft der Player auf einer Uhr in der echten Länge des Stücks.","No recording is bundled yet, so the player runs on a clock at the track’s real length."
"/session/:id/listen","session.listen.noTrack","Für diese Übung gibt es noch keine Aufnahme.","This exercise has no recording yet."
"/session/:id/reflect","reflect.legend","Wie möchtest du antworten?","How would you like to answer?"
"/session/:id/reflect","reflect.mode.voice","Aufnehmen","Record audio"
"/session/:id/reflect","reflect.mode.text","Schreiben","Write answer"
"/session/:id/reflect","reflect.mode.photo","Fotografieren","Take photo"
"/session/:id/reflect","reflect.text.label","Deine geschriebene Antwort","Your written answer"
"/session/:id/reflect","reflect.text.placeholder","Ein Satz reicht.","A sentence is enough."
"/session/:id/reflect","reflect.voice.label","Deine gesprochene Antwort","Your spoken answer"
"/session/:id/reflect","reflect.voice.record","Antwort aufnehmen","Record answer"
"/session/:id/reflect","reflect.voice.recording","Aufnahme läuft","Recording"
"/session/:id/reflect","reflect.voice.status","Aufnahme, {elapsed} aufgenommen, {remaining} verbleibend","Recording, {elapsed} in, {remaining} left"
"/session/:id/reflect","reflect.photo.label","Foto deiner handschriftlichen Notizen","Photo of your handwritten notes"
"/session/:id/reflect","reflect.photo.zone","Zieh ein Foto hierher oder wähle eines von deinem Gerät.","Drag a photo here, or choose one from your device."
"/session/:id/reflect","reflect.photo.choose","Foto wählen","Choose photo"
"/session/:id/reflect","reflect.photo.replace","Ersetzen","Replace"
"/session/:id/reflect","reflect.photo.remove","Foto entfernen","Remove photo"
"/session/:id/reflect","reflect.photo.previewAlt","Das Foto deiner handschriftlichen Notizen","The photo of your handwritten notes"
"/session/:id/reflect","reflect.photo.notBuilt","Fotos auslesen ist noch nicht gebaut","Reading a photo is not built yet"
"/session/:id/reflect","reflect.photo.notBuiltText","Das zeigt, wie es funktionieren wird. Das Foto bleibt auf deinem Gerät und wird als Text ausgelesen; das Bild wird nie hochgeladen.","This shows how it will work. The photo stays on your device and is read back as text; the image is never uploaded."
"/session/:id/*","reflect.skip","Reflexion überspringen","Skip reflection"
"/session/:id/*","reflect.finish","Session beenden","Finish session"
"not rendered (unused key)","diary.latest","Deine letzte Session","Your last session"
"not rendered (unused key)","diary.openEntry","Eintrag öffnen","Open this entry"
"/diary","diary.earlier","Früher","Earlier"
"/diary","diary.timelineLabel","Deine Sessions, neueste zuerst","Your sessions, newest first"
"/diary","diary.listLabel","Tagebucheinträge","Diary entries"
"/diary","diary.empty","Noch keine Sessions","No sessions yet"
"/diary","diary.emptyText","Beende eine Session, dann erscheint sie hier.","Finish a session and it appears here."
"/diary · /diary/:id","diary.stoppedAt","Aufgehört bei {step}","Stopped at {step}"
"/diary · /diary/:id","diary.duration","{minutes} Min.","{minutes} min"
"/diary · /diary/:id","diary.about","Worum es geht","What this exercise is"
"/diary · /diary/:id","diary.when","Wann","When"
"/diary · /diary/:id","diary.howLong","Dauer","How long"
"/diary · /diary/:id","diary.card","Karte","Card"
"/diary · /diary/:id","diary.listenAgain","Nochmal hören","Listen again"
"/diary · /diary/:id","diary.yourAnswer","Deine Antwort","Your answer"
"/diary/:id","diary.notFound","Diesen Tagebucheintrag gibt es nicht","This diary entry does not exist"
"/diary","diary.collapse","Diesen Eintrag schließen","Close this entry"
"/diary · /diary/:id","diary.delete","Diese Session löschen","Delete this session"
"/diary · /diary/:id","diary.delete.confirm","Session löschen?","Delete this session?"
"/diary · /diary/:id","diary.delete.text","Damit sind die Session und alles, was du darin geschrieben hast, endgültig weg. Das lässt sich nicht rückgängig machen.","This removes the session and anything you wrote in it. It cannot be undone."
"/diary · /diary/:id","diary.delete.yes","Löschen","Delete"
"/diary","diary.today","Heute","Today"
"/diary","diary.yesterday","Gestern","Yesterday"
"/diary","diary.filter.legend","Anzeigen","Show"
"/diary","diary.filter.all","Alle","All"
"/diary","diary.filter.noneFinished","Noch nichts beendet","No finished sessions"
"/diary","diary.filter.noneFinishedText","In deinem Tagebuch ist bisher keine Session beendet.","Nothing in your diary has been finished yet."
"/diary","diary.filter.noneAbandoned","Alles ist beendet","No unfinished sessions"
"/diary","diary.filter.noneAbandonedText","Was du angefangen hast, hast du auch beendet.","Everything you started, you finished."
"/diary","diary.filter.showAll","Alle Sessions anzeigen","Show every session"
"/diary","diary.deleteAll","Dein ganzes Tagebuch löschen","Delete your whole diary"
"/diary","diary.deleteAll.confirm","Dein ganzes Tagebuch löschen?","Delete your whole diary?"
"/diary","diary.deleteAll.text","Damit sind alle Sessions und alles, was du darin geschrieben hast, endgültig weg – auch eine Session, die gerade läuft. Nichts bleibt übrig, und das lässt sich nicht rückgängig machen.","This removes every session and everything you wrote in them, including one you are in the middle of. Nothing is kept, and it cannot be undone."
"/diary","diary.deleteAll.yes","Alles löschen","Delete everything"
"/diary","diary.deleteAll.failed","Dein Tagebuch konnte nicht gelöscht werden","Your diary could not be deleted"
"not rendered (unused key)","privacy.title","Was Musie speichert","What Musie keeps"
"not rendered (unused key)","privacy.account","Musie fragt nie nach deinem Namen. Wenn du für den geschlossenen Test eine E-Mail-Adresse und ein Passwort bekommen hast, gehört dein Tagebuch zu diesem Konto. Sonst hat dieser Browser ein eigenes, privates Konto, und dein Tagebuch gehört dazu.","Musie never asks for your name. If you were given an email address and a password for the closed test, your diary belongs to that account. Otherwise this browser holds a private account of its own, and your diary belongs to it."
"/session/:id/reflect","privacy.written","Was du schreibst, kommt in dein Tagebuch, damit du es später nachlesen kannst. Niemand sonst sieht es.","What you write is saved to your diary so you can read it back later. Nobody else can see it."
"not rendered (unused key)","privacy.voiceShort","Musie behält den Text, nie deine Stimme.","Musie keeps the text, never your voice."
"not rendered (unused key)","privacy.more","Mehr zu deinen Daten","More about your data"
"not rendered (unused key)","privacy.voice","Wenn du laut antwortest, macht Musie aus deinen Worten Text und behält nur den Text. Die Aufnahme selbst wird nie gespeichert.","If you answer out loud, Musie turns your words into text and keeps only the text. The recording itself is never stored."
"/session/:id/reflect","privacy.photo","Ein Foto bleibt auf deinem Gerät. Musie lädt es nie hoch.","A photo you take stays on your device. Musie never uploads it."
"not rendered (unused key)","privacy.browserBound","Wenn dein Konto nur in diesem Browser liegt, löschst du mit seinen Daten auch dein Tagebuch, und zurückholen lässt es sich nicht. Wenn du angemeldet bist, bleibt dein Tagebuch bei deinem Konto, und du erreichst es auch von einem anderen Gerät.","If your account lives only in this browser, clearing its data also clears your diary, and there is no way to get it back. If you signed in, your diary stays with your account and you can reach it again from another device."
"/s/:code","scan.route.title","Gescannte Karte","Scanned card"
"/s/:code","scan.working","Die Karte wird gesucht…","Looking up that card…"
"/s/:code","scan.malformed.title","Das ist kein Kartencode","That is not a card code"
"/s/:code","scan.malformed.text","Der Code in diesem Link gehört nicht zu Musie. Ein Kartencode sieht aus wie MC-01.","The code in that link is not one of Musie’s. A card code looks like MC-01."
"/s/:code","scan.unknown.title","Keine Karte mit diesem Code","No card with that code"
"/s/:code","scan.unknown.text","Den Code {code} gibt es in diesem Set nicht.","The code {code} is not in this deck."
"/s/:code","scan.noSession.title","Du hast {code} gescannt","You scanned {code}"
"/s/:code","scan.noSession.text","Es läuft noch nichts. Wähle eine Übung, dann wartet diese Karte beim Scannen auf dich.","Nothing is running yet. Choose an exercise, and this card will be waiting at the scan step."
"/s/:code","scan.chooseExercise","Übung wählen","Choose an exercise"
"/s/:code","scan.cardless.title","Diese Übung zieht keine Karten","This exercise draws no cards"
"/s/:code","scan.cardless.text","Die Session, in der du bist, arbeitet ohne das Kartenset – diese Karte hat dort keinen Platz.","The session you are in works without the deck, so this card has nowhere to go."
"/s/:code","scan.cardless.action","Zurück zur Session","Back to the session"
"/dev/qr","scan.dev.title","QR-Codes für das Kartenset","QR codes for the deck"
"/dev/qr","scan.dev.text","Erzeugt aus {origin}: Jeder Code zeigt auf den Server zurück, der diese Seite ausgeliefert hat. Für den Druck nimmst du dieselben Codes aus dem Generator-Skript, mit der echten Adresse.","Generated from {origin}, so every code here points back at the server that served this page. Print day is the same codes from the generator script, with the real address."
"/dev/qr","scan.dev.qrLabel","QR-Code für Karte {code}","QR code for card {code}"
"/session/:id/reflect","voice.error.micDenied","Musie braucht dein Mikrofon, um dich zu hören. Erlaube es in den Browser-Einstellungen und starte neu.","Musie needs your microphone to hear you. Allow it in your browser settings, then start again."
"/session/:id/reflect","voice.error.micNotFound","Dieses Gerät hat kein Mikrofon, das Musie nutzen kann. Schreibe deine Antwort stattdessen.","This device has no microphone Musie can use. Write your answer instead."
"/session/:id/reflect","voice.error.micUnavailable","Das Mikrofon ließ sich nicht öffnen. Schließe, was es sonst noch benutzt, und starte neu.","The microphone could not be opened. Close whatever else is using it, then start again."
"/session/:id/reflect","voice.error.recorderFailed","Die Aufnahme ließ sich auf diesem Gerät nicht starten. Schreibe deine Antwort stattdessen.","Recording could not start on this device. Write your answer instead."
"/session/:id/reflect","voice.error.connectionFailed","Musie erreicht den Dienst nicht, der deine Worte in Text verwandelt. Prüfe deine Verbindung und starte neu.","Musie cannot reach the service that turns your words into text. Check your connection and start again."
"/session/:id/reflect","voice.error.connectionClosed","Die Verbindung ist abgebrochen. Alles, was Musie schon gehört hat, bleibt erhalten.","The connection dropped. Everything Musie had already heard was kept."
"/session/:id/reflect","voice.error.connectionRejected","Musie kann gerade nicht zuhören. Das liegt an uns, nicht an dir – schreibe deine Antwort oder versuche es später.","Musie cannot listen right now. That is on our side, not yours — write your answer, or try again later."
"/session/:id/reflect","voice.error.segmentationRejected","Musie konnte die Aufnahme nicht einrichten. Das liegt an uns, nicht an dir – schreibe deine Antwort oder versuche es später.","Musie could not set the recording up. That is on our side, not yours — write your answer, or try again later."
"/session/:id/reflect","voice.error.noCredits","Musie kann Worte gerade nicht in Text verwandeln. Das liegt an uns, nicht an dir – schreibe deine Antwort stattdessen.","Musie cannot turn words into text at the moment. That is on our side, not yours — write your answer instead."
"/session/:id/reflect","voice.error.providerError","Beim Zuhören ist etwas schiefgegangen. Schreibe deine Antwort oder versuche es noch einmal.","Something went wrong while Musie was listening. Write your answer, or try again."
"/session/:id/reflect","voice.warning.rateLimited","Ein Satz ließ sich nicht in Text verwandeln. Sag ihn noch einmal und mach weiter.","One sentence could not be turned into text. Say it again, and keep going."
"/session/:id/reflect","voice.undo.combined","Aussagen zusammengeführt","Statements combined"
"/session/:id/reflect","voice.undo.deleted","Aussage gelöscht","Statement deleted"
"/session/:id/reflect","voice.undo.action","Rückgängig","Undo"
"/session/:id/reflect","voice.undo.dismiss","Schließen","Dismiss"
"/session/:id/reflect","voice.item.noun","Aussage","statement"
"/session/:id/reflect","voice.empty.headline","Noch nichts aufgenommen","Nothing captured yet"
"/session/:id/reflect","voice.empty.text","Fertige Aussagen erscheinen hier, je eine Box, in der Reihenfolge, in der du sie gesagt hast.","Finished statements appear here, one box each, in the order you said them."
"/session/:id/reflect","voice.listening","Hört zu","Listening"
"/session/:id/reflect","voice.hearing","Schreibt mit","Hearing you"
"/session/:id/reflect","voice.drop.combine","Mit {position} verbinden","Join into {position}"
"/session/:id/reflect","voice.drop.before","Über {position} schieben","Move above {position}"
"/session/:id/reflect","voice.drop.after","Unter {position} schieben","Move below {position}"
"/session/:id/reflect","voice.drop.cancel","Loslassen, dann bleibt alles, wie es war","Let go to leave it where it was"
"/session/:id/reflect","voice.record.more","Mehr aufnehmen","Record more"
"/session/:id/reflect","voice.record.connecting","Verbindet…","Connecting…"
"/session/:id/reflect","voice.hint.editToggle","Tipps zum Bearbeiten","Editing tips"
"/session/:id/reflect","voice.hint.editHeadline","Aussagen verschieben und verbinden","Moving and joining statements"
"/session/:id/reflect","voice.hint.editHide","Tipps ausblenden","Hide these tips"
"/session/:id/reflect","voice.hint.edit","Zieh eine Aussage, um sie zu verschieben, oder lass sie auf einer anderen los, um beide zu verbinden. Auf dem Touchscreen wischst du eine Aussage nach links, um sie zu löschen. Mit der Tastatur: Ziehpunkt fokussieren, dann Leertaste zum Anheben, Pfeiltasten zum Verschieben, M verbindet sie mit der darüber, Escape legt sie zurück.","Drag a statement to move it, or drop it onto another to join the two. On a touchscreen, swipe a statement to the left to delete it. From the keyboard: focus a drag handle, then space to lift, arrow keys to move, M to join it to the one above, escape to put it back."
"/session/:id/reflect","voice.stopped.headline","Aufnahme beendet","Recording stopped"
"/session/:id/reflect","voice.stopped.timeout","Das waren die {seconds} Sekunden. Alles, was Musie gehört hat, steht in der Liste, und du kannst mehr aufnehmen.","That was the {seconds} seconds. Everything Musie heard is in the list, and you can record more."
"/session/:id/reflect","voice.stopped.silence","Es war {silence} Sekunden still, darum hat Musie aufgehört zuzuhören. Alles Gehörte steht in der Liste.","It went quiet for {silence} seconds, so Musie stopped listening. Everything it heard is in the list."
"/session/:id/reflect","voice.error.headline","Aufnahme beendet","Recording stopped"
"/session/:id/reflect","voice.warning.headline","Eine Aussage wurde übersprungen","One statement was skipped"
"/","route.aboutMusie.title","Über Musie","About Musie"
"/about-you","route.aboutYou.title","Über dich","About you"
"/diary","route.diary.title","Dein Tagebuch","Your diary"
"/diary/:id","route.diaryEntry.title","Tagebucheintrag","Diary entry"
"/exercises","route.exercises.title","Übungen","Exercises"
"/session/:id/*","route.session.title","Aktuelle Session – {step}","Current session — {step}"
"/* (not found)","route.notFound.title","Nicht gefunden","Not found"
